result,ordered_errors,score
False,613.0,0.007512536
False,987.0,0.29935226
True,837.0,0.50369114
False,877.0,0.016447559
False,452.0,0.0010674441
True,779.0,0.75826526
False,201.0,0.001868511
False,843.0,0.0017475272
False,476.0,0.004443112
False,937.0,0.0030877246
False,776.0,0.26221082
False,648.0,0.0011817919
True,124.0,0.9511254
True,944.0,0.85360205
False,559.0,0.0021172403
False,674.0,0.002397511
False,593.0,0.013233161
False,481.0,0.004049985
False,207.0,0.0037399058
False,762.0,0.0075953924
False,569.0,0.0023304683
False,661.0,0.007984912
False,501.0,0.0031463893
False,127.0,0.009078467
False,211.0,0.002467247
False,761.0,0.0015540496
False,830.0,0.0066588465
False,222.0,0.0076984153
False,388.0,0.0064640134
True,576.0,0.9430314
False,859.0,0.0017553846
False,428.0,0.0043456946
False,832.0,0.0018759881
False,564.0,0.025113383
True,521.0,0.9284375
False,172.0,0.014869307
False,100.0,0.001252869
False,339.0,0.0017551549
False,165.0,0.00092441903
False,69.0,0.0005244089
False,503.0,0.0036977492
False,746.0,0.0010981116
False,52.0,0.0023124604
False,939.0,0.14802729
False,957.0,0.026721908
False,491.0,0.002403508
False,506.0,0.0009551771
True,372.0,0.9625444
False,47.0,0.27004978
False,420.0,0.0012722223
False,327.0,0.004036883
False,314.0,0.0029769754
True,471.0,0.96615213
False,601.0,0.042303763
False,642.0,0.0016665149
False,639.0,0.049181785
False,215.0,0.0014868879
False,534.0,0.0054626004
False,12.0,0.005228383
False,516.0,0.0030590598
False,29.0,0.0008427993
False,369.0,0.00262974
False,895.0,0.0043876865
False,942.0,0.0016777695
True,179.0,0.7560243
False,34.0,0.008070202
False,793.0,0.002473682
False,190.0,0.005167398
True,635.0,0.81195647
True,815.0,0.9670492
False,903.0,0.009260765
False,177.0,0.021687148
False,473.0,0.0018854996
False,139.0,0.039250515
False,490.0,0.006994456
False,754.0,0.0033565147
False,817.0,0.009557421
False,851.0,0.009909661
False,13.0,0.0073340107
False,972.0,0.003270527
False,855.0,0.0037557099
False,463.0,0.0036013934
False,241.0,0.0238766
False,756.0,0.026773507
False,275.0,0.004354184
False,373.0,0.012869398
False,821.0,0.18293472
False,834.0,0.012035067
False,630.0,0.30192447
False,68.0,0.07124705
False,803.0,0.03164392
False,224.0,0.0018250705
False,232.0,0.0031192105
False,374.0,0.004754979
False,185.0,0.0033051388
False,218.0,0.048769
False,453.0,0.0024614152
False,600.0,0.00319221
False,221.0,0.0016000667
False,292.0,0.09081625
True,964.0,0.9682081
False,724.0,0.0019263295
False,5.0,0.0040317383
False,166.0,0.023669524
False,64.0,0.003933787
False,250.0,0.07010026
False,727.0,0.0042742635
False,567.0,0.0339711
False,655.0,0.006863602
False,933.0,0.0021411474
False,599.0,0.0072985445
False,546.0,0.005617186
False,545.0,0.13007644
False,858.0,0.0040765754
False,392.0,0.0029750494
False,176.0,0.03834579
False,751.0,0.0042651263
False,285.0,0.002094224
False,811.0,0.0022860896
False,367.0,0.002550284
False,540.0,0.0019933064
False,769.0,0.0007819456
False,908.0,0.0026173922
False,2.0,0.0020407916
True,,0.97767466
False,,0.008332008
False,,0.003550405
True,,0.9752745
False,,0.0022775116
False,,0.0025663357
False,,0.0018797565
False,,0.0024515558
False,,0.0055950745
False,,0.019070638
False,,0.0008374753
False,,0.0024382898
False,,0.0024385566
False,,0.001462185
False,,0.0024339813
True,,0.8899851
False,,0.0039580003
False,,0.0024659166
False,,0.002681895
False,,0.0021163428
False,,0.0021163428
False,,0.1855896
False,,0.0026530116
False,,0.032175254
False,,0.003465781
False,,0.0012494405
False,,0.0039928188
False,,0.0014959408
False,,0.010419282
False,,0.040939834
False,,0.0025156396
False,,0.002415158
False,,0.001422296
False,,0.0022974855
False,,0.003705823
False,,0.024477668
False,,0.39712396
False,,0.041324995
False,,0.0015504536
False,,0.0022777335
False,,0.007982577
True,,0.96796864
True,,0.75731295
False,,0.0552489
False,,0.039092045
False,,0.0011377665
False,,0.04855747
False,,0.00463441
True,,0.9691405
False,,0.025863402
False,,0.008326513
False,,0.0058690654
True,,0.64163506
True,,0.9138
False,,0.0031489774
True,,0.9316175
False,,0.0013789521
False,,0.0039251945
False,,0.002854009
False,,0.0030876573
False,,0.0130761815
True,,0.7791151
False,,0.005068472
False,,0.012813245
False,,0.002159525
False,,0.0069139344
True,,0.92043185
False,,0.028505653
False,,0.0034155517
False,,0.007738947
False,,0.0026123952
False,,0.0008482154
False,,0.00097470585
False,,0.0016552047
False,,0.3166338
False,,0.0021791176
False,,0.0022555487
True,,0.9832759
False,,0.0010117886
False,,0.00092091237
False,,0.010469748
False,,0.49252924
False,,0.010617746
True,,0.97721434
False,,0.0023578787
False,,0.0027369603
False,,0.0013796207
True,,0.9751007
False,,0.025907129
False,,0.0050554182
False,,0.08159644
True,,0.95357513
False,,0.031987082
False,,0.0027126006
True,,0.7756385
False,,0.0018646352
False,,0.02984657
True,,0.7659944
True,,0.97254306
False,,0.0022516523
True,,0.7984436
False,,0.0011093711
False,,0.002325717
False,,0.0043167737
False,,0.004047708
False,,0.31935534
False,,0.0020851824
False,,0.002500469
True,,0.7899252
False,,0.26070043
False,,0.0022536928
False,,0.0037988978
False,,0.0058647045
False,,0.0016517871
False,,0.003046534
False,,0.009498786
False,,0.0064578457
True,,0.8413235
False,,0.0016808513
False,,0.013139097
False,,0.011999344
False,,0.032139294
False,,0.038976606
False,,0.0021621366
False,,0.22012429
False,,0.0032087015
True,,0.7463897
False,,0.0024453937
False,,0.0036658293
False,,0.0036486487
False,,0.04403573
False,,0.0019244116
False,,0.012317814
False,,0.01937431
False,,0.0167302
False,,0.039605472
False,,0.039746936
False,,0.033260662
False,,0.005261866
False,,0.000772115
False,,0.0011284217
False,,0.008553024
False,,0.006800147
False,,0.002295781
False,,0.001916223
False,,0.008192496
False,,0.0019784255
False,,0.19373302
False,,0.006662695
False,,0.1267971
False,,0.0037542866
True,,0.83844227
False,,0.0031343515
False,,0.009799083
False,,0.0020714395
False,,0.002270768
False,,0.01160266
False,,0.0023967903
False,,0.001387775
False,,0.006038735
False,,0.011506006
True,,0.62005204
False,,0.014335851
False,,0.0020530224
False,,0.002536689
False,,0.02305706
False,,0.0046265814
False,,0.0022652918
True,,0.7638966
False,,0.0021019052
False,,0.0018173505
False,,0.0050105434
False,,0.45798552
False,,0.0020364407
False,,0.0025843435
False,,0.0019368514
False,,0.007848614
False,,0.032167964
False,,0.002166101
False,,0.0014213909
False,,0.0014896762
False,,0.12241121
False,,0.0046890965
False,,0.09059697
False,,0.0023891113
False,,0.0017587503
False,,0.0016404205
False,,0.002357282
False,,0.009713411
False,,0.1818857
True,,0.9595315
False,,0.1014707
False,,0.0016138431
False,,0.13698782
False,,0.031211426
False,,0.42958507
False,,0.01924535
False,,0.009425803
False,,0.008286409
False,,0.0031734372
False,,0.005578449
False,,0.013396171
False,,0.018331636
True,,0.9607359
False,,0.056218587
False,,0.027535226
False,,0.026996892
False,,0.00034034564
False,,0.0038157047
False,,0.0024967056
False,,0.003948781
False,,0.0026773238
False,,0.039289497
False,,0.0018803308
False,,0.051718943
True,,0.9681018
False,,0.0015231799
False,,0.011898321
False,,0.0062550977
False,,0.004098148
False,,0.046338703
False,,0.010796024
False,,0.0035249456
False,,0.007236062
False,,0.0021782706
False,,0.0037848535
False,,0.0031702376
False,,0.0052243248
False,,0.041221496
False,,0.0018891133
False,,0.0019672944
False,,0.00948462
False,,0.03451318
False,,0.014821383
False,,0.006850045
False,,0.004656401
False,,0.002369228
False,,0.0025877974
False,,0.005608717
False,,0.0039526876
False,,0.001191145
False,,0.0077429535
False,,0.1616632
True,,0.60952175
False,,0.098417796
True,,0.94151354
False,,0.01949646
False,,0.006376902
True,,0.96435404
True,,0.8269744
True,,0.7816785
False,,0.0028612837
False,,0.052431624
False,,0.003950837
False,,0.03205687
False,,0.41290563
False,,0.001871458
False,,0.002595923
False,,0.004730162
False,,0.0022709742
False,,0.003108286
False,,0.0075086686
False,,0.002843019
False,,0.00034389354
True,,0.9724038
False,,0.0015608357
False,,0.0018238421
False,,0.0047324076
True,,0.6416895
False,,0.0015323178
False,,0.0032817896
False,,0.01993009
False,,0.0017863068
False,,0.0016429243
False,,0.0015677453
False,,0.0016427375
False,,0.0041685314
False,,0.014937343
False,,0.0063742134
False,,0.0120942425
False,,0.0047759274
False,,0.0021806944
False,,0.0042370297
False,,0.0063715265
False,,0.09884001
False,,0.0018847588
False,,0.0016911863
False,,0.0059539694
False,,0.1114463
False,,0.020085543
False,,0.004159448
False,,0.003963996
False,,0.0026593832
False,,0.0016633373
False,,0.0012535517
False,,0.0017601555
True,,0.96149486
False,,0.0022996857
False,,0.0017702222
False,,0.012552401
False,,0.003720977
False,,0.07591177
False,,0.0024028632
False,,0.4298491
True,,0.97061193
False,,0.0129158525
False,,0.003723548
False,,0.41920182
False,,0.030135855
False,,0.23279032
False,,0.0014316277
False,,0.0013846556
False,,0.0017134054
False,,0.0018334936
False,,0.003864988
False,,0.003302033
False,,0.26543465
False,,0.001877505
False,,0.023895891
False,,0.22137527
False,,0.019131256
False,,0.016835738
False,,0.02351844
False,,0.016578587
False,,0.0051058847
False,,0.008806163
False,,0.1438151
False,,0.001541372
True,,0.9869401
True,,0.7742198
False,,0.0050695646
False,,0.012638557
False,,0.0019547467
False,,0.001188395
False,,0.0013368515
False,,0.0020749916
False,,0.013815438
False,,0.0031409664
False,,0.0018789407
True,,0.8428567
False,,0.0025710952
False,,0.00031282453
False,,0.0067603313
False,,0.0022554693
False,,0.0025222758
False,,0.29614365
False,,0.013205873
True,,0.95935786
False,,0.009912046
True,,0.9009082
False,,0.0052611344
False,,0.33015892
True,,0.97807306
False,,0.011426227
False,,0.00859375
False,,0.0077814166
False,,0.003074918
True,,0.9772324
False,,0.0016994423
False,,0.009832535
False,,0.0020504252
False,,0.0020504252
False,,0.0031172454
False,,0.002902327
False,,0.0022133875
False,,0.010289204
True,,0.8835782
True,,0.96523875
False,,0.011561423
False,,0.011379569
False,,0.0077947434
False,,0.02904671
False,,0.0030223243
False,,0.0022671807
False,,0.0011164944
False,,0.0020573805
False,,0.0024837188
True,,0.9754175
False,,0.0026079586
True,,0.96703076
False,,0.0029710128
False,,0.0055487272
True,,0.96475816
False,,0.014597372
False,,0.008586338
False,,0.002810249
False,,0.007879621
False,,0.0019443174
False,,0.0004788335
False,,0.009193989
False,,0.0024607612
False,,0.006728914
True,,0.9491231
False,,0.0024707916
False,,0.010442041
False,,0.0060843984
False,,0.005343593
True,,0.96973264
False,,0.48646852
False,,0.043091606
False,,0.0018904309
False,,0.2711841
False,,0.008817874
False,,0.0015574428
False,,0.0029016028
False,,0.0023496465
False,,0.0025051974
False,,0.0013658167
False,,0.002125833
False,,0.002125833
True,,0.9511498
False,,0.31447238
False,,0.008201545
False,,0.0018312172
False,,0.009702267
False,,0.0018063121
True,,0.5775758
False,,0.0017124409
False,,0.043917846
False,,0.0036126166
False,,0.0006042655
True,,0.6752785
True,,0.677317
False,,0.030727763
False,,0.0024805488
False,,0.00071598263
False,,0.0007818462
False,,0.00097136333
False,,0.001537481
False,,0.001537481
False,,0.018362552
False,,0.0024143346
False,,0.0024143346
False,,0.002945643
False,,0.0018904491
True,,0.977539
False,,0.037747633
False,,0.0031929095
False,,0.001864675
False,,0.0019610988
True,,0.9704169
False,,0.0037063477
False,,0.25491235
True,,0.7146023
False,,0.0022351877
True,,0.97625345
False,,0.0002681426
False,,0.004155036
False,,0.0019880296
False,,0.0018047617
False,,0.49755988
False,,0.011522023
True,,0.97239435
False,,0.0013691364
False,,0.0049854666
False,,0.0033269217
False,,0.0031762014
False,,0.004377051
False,,0.0005037933
False,,0.0063632214
False,,0.040289264
False,,0.063466124
False,,0.0035705348
False,,0.005828607
False,,0.014341452
False,,0.0016907114
False,,0.029920548
False,,0.0028354754
False,,0.013981023
True,,0.97724366
False,,0.0008670436
False,,0.00670385
False,,0.0047077844
False,,0.008326886
False,,0.0841582
True,,0.68540347
True,,0.77235836
True,,0.9592667
False,,0.0024943848
False,,0.15411638
False,,0.0032651671
False,,0.0027399657
False,,0.002944083
False,,0.0022380138
False,,0.00080843177
False,,0.0075755846
False,,0.007891656
False,,0.0015764221
False,,0.0018677962
True,,0.9953784
False,,0.0048570577
False,,0.0045099445
False,,0.002069543
False,,0.002483233
False,,0.002483233
False,,0.1379405
False,,0.06419252
False,,0.012971466
False,,0.0016473533
False,,0.007491397
False,,0.0018648267
False,,0.0059376457
False,,0.0019620492
False,,0.44109848
False,,0.002916213
False,,0.002402276
True,,0.8200933
False,,0.007458572
False,,0.0018721742
False,,0.006881747
False,,0.0057614697
True,,0.9204158
False,,0.0022965062
False,,0.06875052
False,,0.019554975
True,,0.9573557
False,,0.0070310873
False,,0.0034389747
True,,0.95853573
False,,0.004888119
False,,0.0019226676
False,,0.0019048435
False,,0.04131873
False,,0.008446253
True,,0.97788656
False,,0.0021567715
False,,0.0060955915
False,,0.22544731
False,,0.0074111125
False,,0.0046817716
False,,0.002475052
True,,0.71451354
False,,0.00082174985
False,,0.0012491328
False,,0.0010799824
False,,0.0016998636
False,,0.01007822
True,,0.97546613
False,,0.0132055245
False,,0.006204364
False,,0.0018675324
False,,0.0020095473
False,,0.0015310702
False,,0.017184567
False,,0.07554497
False,,0.050475556
False,,0.0018755471
False,,0.0011591259
False,,0.0020187045
False,,0.0060035954
True,,0.97725713
False,,0.13733594
False,,0.0020129334
False,,0.0024320176
False,,0.03497482
False,,0.009973772
False,,0.0029341648
False,,0.010687297
False,,0.09113396
False,,0.0022486036
False,,0.052449703
False,,0.0012975859
False,,0.0017878414
False,,0.0016870132
False,,0.003868274
False,,0.0017243071
False,,0.0021236644
False,,0.0023604722
False,,0.0035094551
False,,0.0020220676
False,,0.0038638262
False,,0.14947253
False,,0.0030560382
False,,0.0017392194
False,,0.002599094
False,,0.00093593233
False,,0.0026139352
False,,0.008644262
False,,0.007563556
False,,0.008481886
False,,0.002350514
False,,0.0018177659
False,,0.016057653
False,,0.0025365562
False,,0.0015958393
False,,0.0051060636
False,,0.013738889
False,,0.007937319
False,,0.45401073
False,,0.0029453211
False,,0.0017882925
False,,0.006300187
False,,0.0045543923
False,,0.40902677
False,,0.046205983
False,,0.0005481578
False,,0.000993086
False,,0.0038589106
False,,0.0037316831
False,,0.0035121776
True,,0.75876874
False,,0.001256198
False,,0.0009072665
True,,0.7203574
False,,0.0021351296
False,,0.00608775
False,,0.005290821
False,,0.0074064457
False,,0.01112376
False,,0.04471585
