result,ordered_errors,score
False,106.0,0.032687455
True,359.0,0.72402143
False,413.0,0.121216826
False,666.0,0.027666075
False,50.0,0.00920335
True,97.0,0.8498135
True,552.0,0.76672006
False,331.0,0.36215258
False,486.0,0.05010517
False,104.0,0.06422752
False,391.0,0.039456125
False,654.0,0.040744945
True,570.0,0.62388855
False,491.0,0.02962941
False,468.0,0.024117267
True,454.0,0.6246671
False,72.0,0.13571203
False,353.0,0.061073255
False,384.0,0.111066915
False,514.0,0.015103189
False,539.0,0.01637228
False,536.0,0.049933407
False,396.0,0.021709118
False,336.0,0.05217289
False,227.0,0.12134647
False,316.0,0.03688974
False,312.0,0.4601764
True,52.0,0.876045
True,509.0,0.94427884
False,757.0,0.13620724
True,618.0,0.6220212
False,728.0,0.05010517
True,499.0,0.9611236
False,100.0,0.022245022
False,303.0,0.017007163
False,277.0,0.12177389
False,302.0,0.3883075
False,471.0,0.068370394
True,385.0,0.82049835
False,763.0,0.013585549
False,677.0,0.012407771
True,571.0,0.96034455
False,635.0,0.024482239
False,252.0,0.031249966
False,827.0,0.02826238
False,368.0,0.0975918
True,648.0,0.8220929
False,699.0,0.013811327
False,853.0,0.023960637
False,32.0,0.061073255
True,595.0,0.990608
False,41.0,0.03688974
True,250.0,0.9755328
True,198.0,0.63207865
False,601.0,0.021957632
True,792.0,0.55749387
False,888.0,0.13575278
True,947.0,0.7948605
False,428.0,0.40843683
False,745.0,0.049795248
False,891.0,0.013811327
False,387.0,0.072998405
False,546.0,0.08641284
False,217.0,0.039942946
False,405.0,0.06966563
False,587.0,0.012630282
False,68.0,0.19710939
False,28.0,0.06562769
True,169.0,0.94457436
True,475.0,0.5690712
False,904.0,0.061615266
False,530.0,0.39250278
True,332.0,0.98411083
False,393.0,0.12979585
False,416.0,0.033872448
False,682.0,0.031916182
False,281.0,0.013943091
False,600.0,0.061073255
False,747.0,0.4135509
True,756.0,0.5146422
False,795.0,0.10813454
False,422.0,0.04712091
False,773.0,0.23565227
False,861.0,0.22102393
False,658.0,0.0118162045
True,780.0,0.51335454
False,152.0,0.038134508
False,824.0,0.07336814
False,362.0,0.43904385
False,187.0,0.12965016
False,315.0,0.13391942
False,566.0,0.018853676
False,458.0,0.20972031
False,532.0,0.46605435
False,495.0,0.03688974
False,643.0,0.05010517
True,705.0,0.90090823
True,817.0,0.99032915
False,955.0,0.28703925
False,182.0,0.01990264
True,634.0,0.97210294
False,96.0,0.05211641
False,892.0,0.035409044
False,147.0,0.021023361
True,297.0,0.98828495
False,450.0,0.14265862
True,263.0,0.99762565
False,521.0,0.015103189
False,790.0,0.046682242
False,954.0,0.4375423
False,937.0,0.19713162
True,907.0,0.64673
False,285.0,0.024429334
False,27.0,0.030281978
False,586.0,0.009602538
True,695.0,0.8620526
True,704.0,0.5766425
False,115.0,0.41823375
True,487.0,0.71842253
False,784.0,0.029417746
False,304.0,0.05279761
False,189.0,0.05092617
False,313.0,0.111066915
False,399.0,0.015270548
False,917.0,0.06414448
True,5.0,0.8248331
False,283.0,0.008462279
False,448.0,0.12979585
False,748.0,0.02040272
False,759.0,0.003001572
False,772.0,0.061073255
False,838.0,0.005249448
False,452.0,0.030762395
False,439.0,0.022216322
False,742.0,0.00920335
False,857.0,0.03404843
False,800.0,0.0052849147
False,620.0,0.109797105
True,914.0,0.71800137
False,706.0,0.047392238
False,788.0,0.013955921
False,930.0,0.03395352
False,355.0,0.2373798
False,905.0,0.047996175
False,417.0,0.061335307
False,125.0,0.20434704
False,46.0,0.047392238
True,38.0,0.89456165
False,220.0,0.008302843
False,510.0,0.22457728
False,551.0,0.18197207
False,754.0,0.018853676
True,576.0,0.91467184
False,580.0,0.19087434
False,818.0,0.007199764
False,990.0,0.0447532
False,876.0,0.018956285
False,940.0,0.29636955
True,761.0,0.7069145
False,984.0,0.04833949
False,294.0,0.46721557
False,650.0,0.2292917
False,775.0,0.21193227
False,952.0,0.15244044
False,334.0,0.08641284
False,523.0,0.14368933
False,484.0,0.056114286
False,310.0,0.3678854
False,57.0,0.49305072
True,737.0,0.9396665
False,886.0,0.061335307
False,199.0,0.24996808
False,696.0,0.14641517
False,734.0,0.012913535
False,591.0,0.0035210587
False,293.0,0.036792044
False,6.0,0.04142468
False,330.0,0.034497578
False,640.0,0.10668664
True,280.0,0.7326009
False,664.0,0.006289476
False,700.0,0.021023361
True,755.0,0.90225613
False,830.0,0.17016353
False,845.0,0.2163488
False,259.0,0.16130228
False,179.0,0.10934932
True,949.0,0.9144433
False,928.0,0.019119864
True,537.0,0.852227
False,383.0,0.019325942
False,1.0,0.026003728
False,644.0,0.084938526
False,118.0,0.0065574027
False,138.0,0.45118517
False,807.0,0.022400882
False,563.0,0.013811327
False,158.0,0.047044817
True,249.0,0.9591123
True,276.0,0.7779637
False,692.0,0.2876196
False,625.0,0.07943644
False,323.0,0.018575773
False,268.0,0.1616041
False,779.0,0.047392238
False,968.0,0.020600347
False,548.0,0.03178094
False,764.0,0.0945002
False,839.0,0.07089278
False,871.0,0.21685143
False,927.0,0.013994957
False,961.0,0.051396724
False,289.0,0.047392238
False,577.0,0.19958827
False,731.0,0.026684731
False,868.0,0.040735688
False,902.0,0.028799802
True,111.0,0.9489501
False,366.0,0.00920335
True,438.0,0.58974814
True,226.0,0.8197111
True,723.0,0.6334343
True,221.0,0.5103433
False,494.0,0.1619909
False,53.0,0.005249448
False,492.0,0.24368362
True,556.0,0.6371704
True,15.0,0.97797275
False,12.0,0.011252505
False,30.0,0.05953383
False,652.0,0.00920335
False,296.0,0.38694006
False,840.0,0.03688974
False,962.0,0.074013524
False,572.0,0.35988602
False,879.0,0.100319095
False,415.0,0.020828001
False,437.0,0.318514
False,712.0,0.038134508
False,545.0,0.0062427116
False,219.0,0.01711668
False,463.0,0.07943644
False,663.0,0.44547907
False,264.0,0.089162946
False,267.0,0.01637228
False,783.0,0.035597995
False,832.0,0.061376996
False,846.0,0.0518989
False,989.0,0.19958827
True,116.0,0.70212364
True,273.0,0.9601298
False,335.0,0.09617784
True,406.0,0.9635553
False,409.0,0.016758919
False,701.0,0.04387972
False,878.0,0.045297507
False,943.0,0.054221194
False,69.0,0.084938526
False,419.0,0.4284595
True,660.0,0.73953986
False,55.0,0.023714159
False,343.0,0.013955921
False,344.0,0.027691342
True,903.0,0.88419414
True,934.0,0.5775785
False,547.0,0.018978622
False,518.0,0.080467835
True,522.0,0.5775785
True,860.0,0.69114566
False,979.0,0.022501884
False,739.0,0.047876734
False,814.0,0.072818734
False,79.0,0.06966563
True,85.0,0.57094365
False,222.0,0.11687976
False,538.0,0.12177389
True,822.0,0.70208013
True,977.0,0.9719
False,298.0,0.08641284
False,544.0,0.047392238
True,732.0,0.7422173
True,850.0,0.9251472
False,916.0,0.2966633
True,929.0,0.849545
False,333.0,0.36215258
True,,0.8785505
False,,0.016225584
False,,0.26163098
False,,0.027666075
True,,0.6543179
False,,0.035642214
False,,0.37907135
False,,0.00920335
True,,0.76772577
True,,0.8072637
False,,0.019651365
True,,0.6155674
True,,0.8927318
True,,0.50783086
False,,0.027666075
False,,0.033568036
False,,0.05875613
True,,0.97133833
True,,0.97199667
True,,0.8527022
False,,0.04387972
False,,0.081567824
False,,0.051396724
False,,0.0420988
False,,0.24671845
True,,0.7969092
False,,0.28691065
True,,0.9764615
True,,0.8507961
False,,0.060075436
True,,0.9136819
True,,0.97797275
False,,0.37775436
False,,0.024560297
False,,0.4135509
False,,0.019917216
False,,0.036822163
False,,0.20553151
True,,0.6920446
False,,0.005249448
False,,0.045197222
False,,0.040000483
False,,0.01927784
False,,0.100667514
False,,0.022361983
True,,0.7640715
True,,0.9902683
True,,0.9342382
True,,0.5073365
True,,0.8054912
True,,0.57076156
True,,0.97923386
False,,0.49356064
False,,0.00920335
False,,0.0058499495
False,,0.057422664
False,,0.018782971
False,,0.04387972
True,,0.54825044
True,,0.5438001
False,,0.49356064
False,,0.10848973
False,,0.022176689
False,,0.00920335
False,,0.07340073
False,,0.043289147
False,,0.012267132
False,,0.00920335
True,,0.98411083
False,,0.26376066
True,,0.8295784
False,,0.013811327
False,,0.018428376
False,,0.107458964
True,,0.9968569
False,,0.008743198
False,,0.00920335
True,,0.91458285
False,,0.2490601
False,,0.10938862
False,,0.016045935
True,,0.64673
False,,0.05211641
True,,0.9611725
False,,0.020320352
False,,0.41823375
False,,0.027699811
False,,0.013875596
False,,0.014345672
False,,0.04387972
False,,0.00920335
False,,0.04387972
False,,0.07451712
False,,0.018782971
False,,0.008489746
False,,0.031278916
False,,0.013955921
False,,0.06442428
True,,0.7257478
True,,0.98372436
True,,0.9663558
False,,0.4290469
True,,0.9499492
False,,0.018978622
False,,0.04387972
False,,0.049859714
True,,0.98768336
False,,0.016136156
True,,0.9322246
False,,0.28691065
False,,0.005036114
True,,0.9812728
False,,0.0058499495
False,,0.021685367
True,,0.8507961
False,,0.013811327
False,,0.013811327
False,,0.2014214
False,,0.14265862
False,,0.03178094
True,,0.94883776
True,,0.57076156
False,,0.42460856
False,,0.40722704
True,,0.57076156
False,,0.06442428
False,,0.20553151
False,,0.03354388
True,,0.9944307
False,,0.113498025
True,,0.60912204
True,,0.9304633
True,,0.8259312
False,,0.00920335
True,,0.5648961
False,,0.04110752
False,,0.056114286
True,,0.921939
False,,0.2253834
False,,0.022245022
False,,0.034369804
